bno,bname,bphone,baddress,bdigital
1,가야동지점,051-892-3651,부산광역시 부산진구 가야대로 610(가야동),N
2,감만동영업소,051-642-5421,"부산 남구 우암로 124홈플러스 감만점 1층 (홈플러스 감만점 의무 휴업일로 은행휴무일 매월 두번째,네번째 월요일 휴무)",N
3,감전동금융센터,051-312-5301,부산광역시 사상구 새벽로 160(감전동),N
4,감천동지점,051-204-1011,부산광역시 사하구 옥천로 6(감천동),N
5,감천중앙지점,051-293-8377,부산광역시 사하구 감천로 52(감천동),N
6,강남금융센터,02-598-6191,서울특별시 서초구 강남대로 279(서초동),N
7,강서산단지점,051-971-4848,"부산 강서구 미음산단로127번길 21(구랑동, BNK금융그룹IT센터)",N
8,개금동지점,051-891-4001,부산광역시 부산진구 가야대로 494(개금동),N
9,개금사랑영업소,051-891-7007,부산광역시 부산진구 복지로 49(개금동) *점심시간 동시사용 (12:00~13:00),Y
10,거제고현지점,055-635-9100,경남 거제시 거제중앙로29길 15(고현동),N
11,거제동지점,051-863-0122,부산광역시 연제구 거제대로 166(거제동),Y
12,검찰청영업소,051-502-1567,부산광역시 연제구 법원로 15(거제동),N
13,경성대학교영업소,051-625-1628,부산광역시 남구 수영로 309(대연동) *점심시간 동시사용 (12:00~13:00),Y
14,광남지점,051-625-2201,부산광역시 수영구 광남로 33(남천동),N
15,광안동,051-752-4161,부산 수영구 수영로618번길 4(성우이린타워 2층 [1층자동화코너/2층 영업점]),N
16,괘법동영업소,051-313-0223,부산광역시 사상구 운산로 28(괘법동),N
17,괴정동지점,051-206-7571,부산광역시 사하구 낙동대로 225(괴정동),Y
18,교대역영업소,051-506-1661,부산광역시 연제구 중앙대로 1217(거제동) * 점심시간 동시사용 (12:00~13:00),N
19,구남지점,051-335-9393,"부산광역시 북구 백양대로 1025(구포동, 협진태양프라자)",N
20,구로디지털지점,02-2082-2540,구로이마트 옆건물 서울 구로구 디지털로 300 지밸리비즈플라자 6층(구로동),Y
21,구서동금융센터,051-514-2103,부산광역시 금정구 구서로 23(구서동),N
22,구포3동지점,051-332-5201,부산 북구 시랑로79번길 20- 5(구포 동성가든타워 상가 1층),N
23,구포지점,051-332-4201,부산 북구 백양대로 1200(덕천동),Y
24,국제여객터미널영업소,051-462-7706,부산광역시 동구 충장대로 206(초량동.국제여객터미널 2충) *점심시간 동시사용 (11:30~12:30),N
25,금곡동영업소,051-362-2151,부산광역시 북구 금곡대로 616번길 55*공동점포(KB국민은행),N
26,금사공단지점,051-531-8311,부산광역시 금정구 서동로 173(서동),N
27,금정구청영업소,051-518-4046,부산광역시 금정구 중앙대로 1777(부곡동) *점심시간 동시사용 (12:00~13:00),N
28,기장지점,051-722-6085,부산 기장군 기장읍 읍내로 98(동부리),N
29,기찰지점,051-581-0854,부산광역시 금정구 수림로 15(부곡동),N
30,김해공항지점,051-971-2643,"부산 강서구 공항진입로 108국제선 1층 4GATE 앞 (대저2동,김해국제공항건물)",N
31,김해금융센터,055-334-1251,경상남도 김해시 가락로 23(부원동 602-9),Y
32,김해주촌공단지점,055-324-8660,경상남도 김해시 주촌면 골든루트로66번길 5,N
33,남구청영업소,051-644-2505,부산광역시 남구 못골로 19(대연동) *점심시간 동시사용 (12:00~13:00),N
34,남산동영업소,051-517-0858,부산광역시 금정구 금강로 644(남산동) *점심시간 동시사용 (12:00~13:00),N
35,남양산지점,055-365-0174,"경남 양산시 양산역로 71(중부동,노바메티칼센터 1층, 2층)",N
36,남천동지점,051-623-8515,부산 수영구 황령대로473번길 15(남천동) 엑슬루타워,N
37,내성영업소,051-504-9985,부산 동래구 충렬대로 118(온천동) * 점심시간 동시사용 (12:00~13:00),N
38,내외동지점,055-324-2610,경남 김해시 내외중앙로 60신한프라자 101호,Y
39,냉정역영업소,051-324-6851,부산광역시 사상구 가야대로 370(주례동) *점심시간 동시사용 (12:00~13:00),N
40,녹산공단금융센터,051-831-0201,부산광역시 강서구 녹산산단232로 38-26(송정동),N
41,녹산중앙지점,051-831-8811,부산광역시 강서구 녹산산단335로 16(송정동),N
42,다대2동영업소,051-266-4893,부산광역시 사하구 다대로 429번길 15(다대동),Y
43,다대포지점,051-263-8267,"부산광역시 사하구 다대로 544, 진요빌딩 104호(다대동)",N
44,당감동지점,051-895-9711,부산광역시 부산진구 당감로 48(당감동),Y
45,당리동지점,051-205-6511,부산광역시 사하구 낙동대로 401-1(당리동),N
